ISO3,Country,Country area (ha),Date Range,Annual Avg.,Year 2023
AUT,Austria,8385823,[2006 - 2023],0.44,5
BEL,Belgium,3070746,[2006 - 2023],1.06,2
BGR,Bulgaria,11158767,[2006 - 2023],25.67,73
HRV,Croatia,5707857,[2006 - 2023],36.67,13
CYP,Cyprus,571965,[2006 - 2023],5.56,9
CZE,Czech Republic,7883578,[2006 - 2023],0.11,
DNK,Denmark,4314484,[2006 - 2023],0.94,2
EST,Estonia,4548988,[2006 - 2023],0.39,3
FIN,Finland,33694010,[2006 - 2023],1.22,4
FRA,France,54951621,[2006 - 2023],68.33,219
DEU,Germany,35783935,[2006 - 2023],5.17,7
GRC,Greece,13257480,[2006 - 2023],53.39,56
HUN,Hungary,9305287,[2006 - 2023],4.00,1
IRL,Ireland,7036676,[2006 - 2023],10.72,30
ITA,Italy,30075506,[2006 - 2023],260.61,530
LVA,Latvia,6471010,[2006 - 2023],0.72,2
LTU,Lithuania,6501683,[2006 - 2023],0.28,3
NLD,Netherlands,3766581,[2006 - 2023],0.72,1
POL,Poland,31240006,[2006 - 2023],0.94,1
PRT,Portugal,9187803,[2006 - 2023],195.56,167
ROU,Romania,23833860,[2006 - 2023],83.78,60
SVK,Slovakia,4909927,[2006 - 2023],0.33,
SVN,Slovenia,1998091,[2006 - 2023],0.83,1
ESP,Spain,50604375,[2006 - 2023],182.11,371
SWE,Sweden,45004727,[2006 - 2023],7.00,4