Day,Max (2012 - 2023),Average (2012 - 2023),Min (2012 - 2023),Year 2023
07 Jan,246,109.00,12,81
14 Jan,209,111.58,41,51
21 Jan,194,91.83,22,68
28 Jan,280,103.33,23,23
04 Feb,408,138.25,38,181
11 Feb,547,160.17,53,259
18 Feb,945,318.33,68,679
25 Feb,1254,468.08,64,420
03 Mar,1822,596.17,145,230
10 Mar,1237,617.42,113,217
17 Mar,2683,924.00,169,382
24 Mar,5651,1411.08,143,391
31 Mar,3597,1173.00,119,643
07 Apr,1487,581.33,212,377
14 Apr,1174,488.83,250,250
21 Apr,884,522.75,191,277
28 Apr,670,347.67,141,141
05 May,490,289.17,144,260
12 May,682,297.08,173,227
19 May,636,305.17,150,333
26 May,416,294.00,200,293
02 Jun,450,325.17,187,417
09 Jun,805,373.42,144,313
16 Jun,925,409.25,184,468
23 Jun,985,471.42,258,387
30 Jun,1120,539.00,349,349
07 Jul,906,607.00,362,447
14 Jul,1827,853.92,370,610
21 Jul,3203,1325.33,556,1058
28 Jul,1546,1100.00,660,1402
04 Aug,1943,1072.83,420,420
11 Aug,3980,1541.08,596,596
18 Aug,1885,1051.17,395,813
25 Aug,2080,1110.67,296,2080
01 Sep,1826,914.17,449,708
08 Sep,1921,882.33,383,615
15 Sep,1405,860.25,375,622
22 Sep,1416,868.00,494,758
29 Sep,1551,792.83,294,614
06 Oct,1407,857.25,340,707
13 Oct,1872,780.83,217,779
20 Oct,3142,856.33,178,413
27 Oct,1234,584.33,175,216
03 Nov,868,484.42,145,240
10 Nov,605,301.92,93,191
17 Nov,672,245.00,76,170
24 Nov,338,145.45,14,160
01 Dec,416,112.36,36,43
08 Dec,362,117.18,19,19
15 Dec,312,95.00,23,49
22 Dec,198,72.08,27,99
29 Dec,224,99.42,49,107